ID,Waypoint,Latitude,Longitude
VTSPWADD10,BOBAG,N 01 02.5,E 103 29.9
VTSPWADD10,UXATI,N 00 33.8,E 103 59.5
VTSPWADD10,POSOG,N 00 20.4,E 104 13.4
VTSPWADD10,ANITO,S 00 17.0,E 104 52.0
VTSPWADD10,PKP,S 02 10.0,E 106 08.5
VTSPWADD10,MIMIX,S 03 19.3,E 107 37.3
VTSPWADD10,RUPKA,S 05 28.6,E 110 21.9
VTSPWADD10,SBR,S 07 22.4,E 112 46.3
VTSPWADD10,MOVMO,S 08 01.3,E 113 53.7
VTSPWADD10,BIGIV,S 08 23.0,E 113 55.4
VTSPWADD10,ASIGI,S 08 44.5,E 114 07.0
VTSPWADD10,GODEV,S 08 54.9,E 114 25.3
VTSPWADD10,SUPES,S 09 03.0,E 114 39.4
VTSPWADD10,GOSAN,S 09 03.2,E 114 59.0
VTSPWADD10,DAPRU,S 09 03.3,E 115 09.7
VTSPWADD10,BASIX,S 09 03.3,E 115 23.8
VTSPWADD10,BENOA,S 08 44.4,E 115 23.9
VTSPWADD10,WADD,S 08 44.8,E 115 10.2
VTSPWADD10,VTSP,N 08 06.8,E 098 18.6
VTSPWADD10,08N098E,N 08 06.8,E 098 18.2
VTSPWADD10,DER27,N 08 06.7,E 098 18.2
VTSPWADD10,SP401,N 07 53.1,E 098 14.4
VTSPWADD10,SP404,N 07 46.7,E 098 30.0
VTSPWADD10,REBED,N 07 43.5,E 098 37.6
VTSPWADD10,NUTGU,N 07 28.0,E 098 50.3
VTSPWADD10,DALAN,N 06 28.1,E 099 39.3
VTSPWADD10,VPL,N 06 21.3,E 099 44.7
VTSPWADD10,RUVTO,N 05 54.3,E 099 53.2
VTSPWADD10,ANGUN,N 05 08.2,E 100 07.6
VTSPWADD10,UDIKO,N 04 53.5,E 100 11.8
VTSPWADD10,OREKA,N 04 18.4,E 100 21.8
VTSPWADD10,NIREN,N 03 30.1,E 100 32.9
VTSPWADD10,VESIS,N 03 04.8,E 100 58.7
VTSPWADD10,MITOS,N 01 58.5,E 102 06.2
VTSPWADD10,SUKRI,N 01 23.1,E 102 59.1
VTSPWADD10,BOBAG,N 01 02.5,E 103 29.9
VTSPWADD10,UXATI,N 00 33.8,E 103 59.5
VTSPWADD10,POSOG,N 00 20.4,E 104 13.4
VTSPWADD10,ANITO,S 00 17.0,E 104 52.0
VTSPWADD10,PKP,S 02 10.0,E 106 08.5
VTSPWADD10,MIMIX,S 03 19.3,E 107 37.3
VTSPWADD10,RUPKA,S 05 28.6,E 110 21.9
VTSPWADD10,SBR,S 07 22.4,E 112 46.3
VTSPWADD10,MOVMO,S 08 01.3,E 113 53.7
VTSPWADD10,BIGIV,S 08 23.0,E 113 55.4
VTSPWADD10,ASIGI,S 08 44.5,E 114 07.0
VTSPWADD10,GODEV,S 08 54.9,E 114 25.3
VTSPWADD10,SUPES,S 09 03.0,E 114 39.4
VTSPWADD10,GOSAN,S 09 03.2,E 114 59.0
VTSPWADD10,DAPRU,S 09 03.3,E 115 09.7
VTSPWADD10,BASIX,S 09 03.3,E 115 23.8
VTSPWADD10,BENOA,S 08 44.4,E 115 23.9
VTSPWADD10,WADD,S 08 44.8,E 115 10.2
